"SNAP_DATE_TIME","METRIC_NAME","PSN"
"2021-12-19 09:59:49","Logons",3.28
"2021-12-19 10:59:49","Logons",3.28
"2021-12-19 12:00:50","Logons",3.28
"2021-12-19 12:59:50","Logons",3.28
"2021-12-19 13:59:51","Logons",3.28
"2021-12-19 14:59:51","Logons",3.28
"2021-12-19 15:59:52","Logons",3.28
"2021-12-19 16:59:53","Logons",3.29
"2021-12-19 18:00:53","Logons",3.29
"2021-12-19 18:59:54","Logons",3.28
"2021-12-19 19:59:54","Logons",3.29
"2021-12-19 20:59:55","Logons",3.28
"2021-12-19 21:59:55","Logons",3.28
"2021-12-19 22:59:56","Logons",3.29
"2021-12-20 00:00:57","Logons",3.29
"2021-12-20 00:59:57","Logons",3.29
"2021-12-20 01:59:58","Logons",3.29
"2021-12-20 02:59:58","Logons",3.29
"2021-12-20 03:59:59","Logons",3.29
"2021-12-20 04:59:59","Logons",3.29
"2021-12-20 05:59:59","Logons",3.29
"2021-12-20 07:00:00","Logons",3.29
"2021-12-20 08:00:01","Logons",3.29
"2021-12-20 09:00:01","Logons",3.3
"2021-12-19 09:59:49","Transactions",0.03
"2021-12-19 10:59:49","Transactions",0.13
"2021-12-19 12:00:50","Transactions",0.07
"2021-12-19 12:59:50","Transactions",0.02
"2021-12-19 13:59:51","Transactions",0.02
"2021-12-19 14:59:51","Transactions",0.03
"2021-12-19 15:59:52","Transactions",0.04
"2021-12-19 16:59:53","Transactions",0.02
"2021-12-19 18:00:53","Transactions",0.03
"2021-12-19 18:59:54","Transactions",0.05
"2021-12-19 19:59:54","Transactions",0.05
"2021-12-19 20:59:55","Transactions",0.07
"2021-12-19 21:59:55","Transactions",0.05
"2021-12-19 22:59:56","Transactions",0.06
"2021-12-20 00:00:57","Transactions",0.03
"2021-12-20 00:59:57","Transactions",0.01
"2021-12-20 01:59:58","Transactions",0.01
"2021-12-20 02:59:58","Transactions",0.01
"2021-12-20 03:59:59","Transactions",0.01
"2021-12-20 04:59:59","Transactions",0.01
"2021-12-20 05:59:59","Transactions",0.01
"2021-12-20 07:00:00","Transactions",0.14
"2021-12-20 08:00:01","Transactions",0.01
"2021-12-20 09:00:01","Transactions",0.02
